Designator,Mid X,Mid Y,Rotation,Layer
U1,68.25,-45.95,180,bottom
U2,73.15,-52.65,90,bottom
U3,66.35,-57.8,0,bottom
U4,61.575,-51.175,-90,bottom
U5,72.625,-73,0,bottom
U6,58.682358,-76.207,90,bottom
U7,63.8,-88.375,180,bottom
U8,64.575,-106.025,180,bottom
U9,68.625,-114.25,90,bottom
U10,67.75,-125.8,90,bottom
U11,61.2,-134.025,0,bottom
U12,54.775,-125.575,-90,bottom
U13,57.4,-113.75,-90,bottom
U14,95.2,-108.075,0,bottom
U15,95.2,-114,180,bottom
U16,123.025,-128.325,90,bottom
U17,128.15,-142.675,180,bottom
U18,131.675,-135.025,90,bottom
U19,148.25,-131,-90,bottom
U20,142.190867,-121.632709,10,bottom
U21,130.975,-119.925,25,bottom
U22,162.475,-129.55,60,bottom
U23,168.4,-137.65,180,bottom
U24,174.5,-129.725,-60,bottom
U25,192.075,-129.325,90,bottom
U26,200.225,-129.475,-90,bottom
U27,205.575,-120.1,-90,bottom
U28,189.925,-106.625,180,bottom
U29,200.375,-106.75,180,bottom
U30,211.975,-106.75,180,bottom
U31,220.55,-106.725,180,bottom
U32,214.675,-84.75,15,bottom
U33,200.036793,-84.44553,-15,bottom
U34,198.5,-63.525,90,bottom
U35,207.3257,-72.575,180,bottom
U36,216.4,-63.574887,-90,bottom
U37,207.275,-54.9,0,bottom
U38,207.6,-42.075,180,bottom
U39,173.588773,-50.15416,-45,bottom
U40,158.194008,-42,0,bottom
U41,136.3,-56.95,0,bottom
U42,115.593,-41.707358,0,bottom
U43,101.7,-48.35,45,bottom
U44,94.957358,-63.257,90,bottom
U45,102.785355,-84.464645,135,bottom
U46,124.475,-100.15,135,bottom
U47,136.413828,-112.805082,180,bottom
U48,147,-100.897424,-135,bottom
U49,165.375,-87.475,-135,bottom
U50,178.225,-64.975,-90,bottom
U51,148.425,-62.85,90,bottom
U52,143.960051,-73.41066,45,bottom
U53,136.543,-86.432358,0,bottom
U54,126.540381,-73.96967,-45,bottom
U55,122.25,-62.05,-90,bottom
